Book Name,Category,URL
Get Out of Your Mind and Into Your Life,Depression,https://tantor-site-assets.s3.amazonaws.com/bonus-content/B0538_MindLife/B0538_MindLife_BonusPDF.pdf
Against Depression,Depression,https://www.european-depression-day.de/wp-content/uploads/2021/09/DepressionManifesto2.pdf
Beyond Blue,Depression,https://esf.com.au/wp-content/uploads/2021/06/Beyond-Blue-phase-three-report.pdf
Night Falls Fast,Depression,https://api.motion.ac.in/textbook-solutions/threads/_pdfs/night_falls_fast_understanding_suicide_vintage.pdf
When Someone You Love is Depressed,Depression,https://www.sadag.org/images/brochures/Helping-a-Depressed-Loved-One.pdf
Cognitive Behavioral Therapy Made Simple,Depression,https://www.hpft.nhs.uk/media/1655/wellbeing-team-cbt-workshop-booklet-2016.pdf
The Mindful Way Workbook,Depression,https://www.mindful-way.com/wp-content/uploads/2021/01/Mindful-Way-Hugh-MBSR-Workbook-V1.2019.pdf
The Disappearance of the Universe,Depression,https://cdn.bookey.app/files/pdf/book/en/the-disappearance-of-the-universe.pdf
The Gifts of Imperfection,Depression,https://ati.dae.gov.in/ati12052021_4.pdf
How to Stop Worrying and Start Living,Depression,https://crpf.gov.in/writereaddata/images/pdf/How_To_Stop_Worrying_And_Start_Living.pdf
Unstuck,Depression,https://www.childrensmercy.org/siteassets/media-documents-for-depts-section/departments/gastroenterology/getting-unstuck.pdf
Dare,Anxiety,https://www.ojp.gov/pdffiles/darefs.pdf
The Anxiety and Phobia Workbook,Anxiety,https://todaytelemedicine.com/wp-content/uploads/2023/12/The-Anxiety-and-Phobia-Workbook-Edmund-J.-Bourne.pdf
My Age of Anxiety,Anxiety,https://cdn.bookey.app/files/pdf/book/en/my-age-of-anxiety.pdf
Rewire Your Anxious Brain,Anxiety,https://hypnotherapycenter.co.za/wp-content/uploads/2020/10/Rewire-Your-Anxious-Brain_-How-to-Use-the-Neuroscience-of-Fear-to-End-Anxiety-Panic-and-Worry.pdf
The Worry Trick,Anxiety,https://cdn.bookey.app/files/pdf/book/en/the-worry-trick.pdf
Anxiety Relief,Anxiety,https://polytechnic.purdue.edu/sites/default/files/files/PCOT%20Columbus/Natural%20Ways%20of%20Dealing%20with%20Anxiety%20Without%20Medications_PCCAPS.pdf
At Last a Life,Anxiety,https://cdn.bookey.app/files/pdf/book/en/at-last-a-life.pdf
Feeling Good,Anxiety,https://www.ecml.at/Portals/1/5MTP/Schank/documents/Feeling-Good.pdf
Hope and Help for Your Nerves,Anxiety,https://ebookk.ir/wp-content/uploads/2024/01/Hope-and-Help-for-Your-Nerves_p01-20.pdf
The Anxiety Toolkit,Anxiety,https://www.colorado.edu/counseling/sites/default/files/attached-files/tele_anxiety_toolbox_student_workbook_session_1.pdf
The Highly Sensitive Person,Anxiety,https://www.chirucounselling.ca/resources/The%20Highly%20Sensitive%20Person-%20%20Survival%20guide.pdf
When Panic Attacks,Anxiety,https://www.cci.health.wa.gov.au/~/media/CCI/Consumer-Modules/When-Panic-Attacks/When-Panic-Attacks---Module-5---Facing-Feared-Situations.pdf
The Mindful Way Through Anxiety,Anxiety,https://cdn.bookey.app/files/pdf/book/en/the-mindful-way-through-anxiety.pdf
Stop Anxiety from Stopping You,Anxiety,https://secure.talentheromedia.com/86814663/yalooft/amistakenx/gplainp/Stop+Anxiety+from+Stopping+You:+The+Breakthrough+Program+For+Conquering+Panic+and+Social+Anxiety.pdf
Mastery of Your Anxiety and Panic,Anxiety,https://academic.oup.com/book/41296/book-pdf/47173480/med-9780197584057.pdf
Anxiety: Panicking about Panic,Anxiety,http://dni.dali.dartmouth.edu/olui0jk112z8/12-prof-verdie-schowalter-2/read-1500117927-anxiety-panicking-about-panic-a-powerful-self-he.pdf
The 10 Best-Ever Anxiety Management Techniques,Anxiety,https://crpf.gov.in/writereaddata/images/pdf/The_Stress_Management.pdf
The CBT Workbook for Anxiety,Anxiety,https://www.hpft.nhs.uk/media/1655/wellbeing-team-cbt-workshop-booklet-2016.pdf
Atomic Habits,Self-Improvement,https://archive.org/download/atomic-habits-pdfdrive/Atomic%20habits%20%28%20PDFDrive%20%29.pdf
The 7 Habits of Highly Effective People,Self-Improvement,https://ati.dae.gov.in/ati12052021_1.pdf
How to Win Friends and Influence People,Self-Improvement,https://www.rfpmm.org/pdf/how-to-win-friends-and-influence-people.pdf
The Subtle Art of Not Giving a F*ck,Self-Improvement,https://nibmehub.com/opac-service/pdf/read/The%20Subtle%20Art%20of%20Not%20Giving%20a%20Fck%20A%20Counterintuitive%20Approach%20to%20Living%20a%20Good%20Life%20by%20Mark%20Manson%20(z-lib.org).pdf
Think and Grow Rich,Self-Improvement,https://apex.oracle.com/pls/apex/lonestar/r/files/static/v13Y/Think-And-Grow-Rich_2011-06.pdf
The Four Agreements,Self-Improvement,https://media.cmsmax.com/6j0m187z6e9h2yqesif6w/the-four-agreements-by-don-miguel-ruiz.pdf
Can't Hurt Me,Self-Improvement,http://166.70.226.41/get/pdf/Can%26%2339%3Bt%20Hurt%20Me_%20Master%20Your%20Mind%20and%20Defy%20the%20Odds%20-%20David%20Goggins_48658.pdf
Make Your Bed,Self-Improvement,https://www.arlingtonschools.org/site/handlers/filedownload.ashx?moduleinstanceid=29196&dataid=32245&FileName=ELA_Make%20your%20bed%20.pdf
The Miracle Morning,Self-Improvement,https://trans4mind.com/download-pdfs/The%20Miracle%20Morning.pdf
The Gifts of Imperfection,Self-Improvement,https://ati.dae.gov.in/ati12052021_4.pdf
The Compound Effect,Self-Improvement,http://digitallibrary.loyolacollegekerala.edu.in:8080/jspui/bitstream/123456789/2154/1/The%20Compound%20Effect%20-%20Darren%20hardy.pdf
The Slight Edge,Self-Improvement,https://givbuxuniversity.com/wp-content/uploads/2021/03/The-Slight-Edge-Jeff-Olson.pdf
Awaken the Giant Within,Self-Improvement,https://teacherspage.wordpress.com/wp-content/uploads/2012/05/awaken-the-giant-within-anthony-robbins1.pdf
The Motivation Manifesto,Self-Improvement,https://thebusinessleadership.academy/wp-content/uploads/2017/10/The-Motivation-Manifesto.pdf
Tools of Titans,Self-Improvement,https://www.spitt2288.name/app/download/5106384/Tools+of+Titans+-+Timothy+Ferriss.pdf
Discipline Equals Freedom,Self-Improvement,https://events.echelonfront.com/wp-content/uploads/2022/07/DEF-Challenge-Instrcutions-compressed.pdf
Start with Why,Self-Improvement,https://www.earthgifts.com.au/ebook/simon-sinek-start-with-why.pdf
Who Moved My Cheese?,Self-Improvement,https://ati.dae.gov.in/ati12052021_7.pdf
High Performance Habits,Self-Improvement,https://beyondbetterclub.com/wp-content/uploads/2020/05/high-performance-habits-.pdf
Limitless,Self-Improvement,https://dn790008.ca.archive.org/0/items/limitless-upgrade-your-brain-jim-kwik/Limitless_%20Upgrade%20Your%20Brain%2C%20-%20Jim%20Kwik.pdf
Grit,Motivation,https://www.apa.org/pubs/journals/features/edu-edu0000594.pdf
The Magic of Thinking Big,Motivation,https://cdn.bookey.app/files/pdf/book/en/the-magic-of-thinking-big.pdf
Start With Why,Motivation,https://www.earthgifts.com.au/ebook/simon-sinek-start-with-why.pdf
Mindset,Motivation,https://adrvantage.com/wp-content/uploads/2023/02/Mindset-The-New-Psychology-of-Success-Dweck.pdf
Awaken the Giant Within,Motivation,https://teacherspage.wordpress.com/wp-content/uploads/2012/05/awaken-the-giant-within-anthony-robbins1.pdf
The Power of Positive Thinking,Motivation,https://daruindvoidobandi.wordpress.com/wp-content/uploads/2014/02/the_power_of_positive_thinking.pdf
The War of Art,Motivation,https://www.heroines-project.eu/wp-content/uploads/2021/07/The-war-of-art-by-Robert-Pressfield.pdf
Limitless,Motivation,https://dn790008.ca.archive.org/0/items/limitless-upgrade-your-brain-jim-kwik/Limitless_%20Upgrade%20Your%20Brain%2C%20-%20Jim%20Kwik.pdf
The Motivation Manifesto,Motivation,https://thebusinessleadership.academy/wp-content/uploads/2017/10/The-Motivation-Manifesto.pdf
Drive,Motivation,https://drive.gov.in/static/assets/UserManual.pdf
12 Rules for Life,Life Lessons,https://nasihah.net/wp-content/uploads/books/12-Rules-for-Life.pdf
Tuesdays with Morrie,Life Lessons,https://myaccount.inspiruseducation.com/wp-content/uploads/2022/02/Tuesdays-With-Morrie-Mitch-Albom.pdf
